cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
10115303,Peonidin 3-O-sophoroside,Flavonoids,1,Anthocyanins,625,301,Glycoside,57
10115703,Peonidin 3-O-xyloside,Flavonoids,1,Anthocyanins,433,301,Glycoside,57
10104703,Petunidin 3-O-(6''-acetyl-glucoside),Flavonoids,1,Anthocyanins,521,317,Glycoside,57
10103803,Petunidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,449,317,Glycoside,57
10103403,Petunidin 3-O-galactoside,Flavonoids,1,Anthocyanins,479,317,Glycoside,57
10103603,Petunidin 3-O-glucoside,Flavonoids,1,Anthocyanins,479,317,Glycoside,57
30210003,"1,5-Dicaffeoylquinic acid",Phenolic acids,2,Hydroxycinnamic acids,516,180,Aglycone,33
30228603,"1,5-Diferuloylquinic acid",Phenolic acids,2,Hydroxycinnamic acids,544,194,Aglycone,33
30228703,1-Caffeoyl-5-feruloylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,530,180,Aglycone,33
30228803,1-Feruloyl-5-caffeoylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,530,194,Aglycone,33
30209303,"3,4-Dicaffeoylquinic acid",Phenolic acids,2,Hydroxycinnamic acids,516,180,Aglycone,33
30204203,"3,5-Dicaffeoylquinic acid",Phenolic acids,2,Hydroxycinnamic acids,516,180,Aglycone,33
30202503,3-Caffeoylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,354,180,Aglycone,33
30203803,3-Feruloylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,368,194,Aglycone,33
30219603,3-O-Methylrosmarinic acid,Phenolic acids,2,Hydroxycinnamic acids,374,194,Aglycone,33
30210103,"4,5-Dicaffeoylquinic acid",Phenolic acids,2,Hydroxycinnamic acids,516,180,Aglycone,33
30203703,4-Feruloylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,368,194,Aglycone,33
30203303,5-Caffeoylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,354,180,Aglycone,33
30203603,5-Feruloylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,368,194,Aglycone,33
30200203,5-p-Coumaroylquinic acid,Phenolic acids,2,Hydroxycinnamic acids,338,164,Aglycone,33
30200503,Caffeic acid,Phenolic acids,2,Hydroxycinnamic acids,180,180,Aglycone,33
30200803,Ferulic acid,Phenolic acids,2,Hydroxycinnamic acids,194,194,Aglycone,33
30225203,Feruloylglycine,Phenolic acids,2,Hydroxycinnamic acids,251,251,Aglycone,33
30204303,Isoferulic acid,Phenolic acids,2,Hydroxycinnamic acids,194,194,Aglycone,33
30201303,m-Coumaric acid,Phenolic acids,2,Hydroxycinnamic acids,164,164,Aglycone,33
30200103,p-Coumaric acid,Phenolic acids,2,Hydroxycinnamic acids,164,164,Aglycone,33
30201103,Rosmarinic acid,Phenolic acids,2,Hydroxycinnamic acids,360,180,Aglycone,33
30202203,Sinapic acid,Phenolic acids,2,Hydroxycinnamic acids,224,224,Aglycone,33
30227203,Caffeic acid 3-O-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,356,180,Glucuronide,33
30227303,Caffeic acid 4-O-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,356,180,Glucuronide,33
30227403,Caffeoyl C1-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,356,180,Glucuronide,33
30225603,Ferulic acid 4-O-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,370,194,Glucuronide,33
30226003,Feruloyl C1-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,370,194,Glucuronide,33
30225303,Isoferulic acid 3-O-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,370,194,Glucuronide,33
30226103,Isoferuloyl C1-glucuronide,Phenolic acids,2,Hydroxycinnamic acids,370,194,Glucuronide,33
30225803,Caffeic acid 3-sulfate,Phenolic acids,2,Hydroxycinnamic acids,260,180,Sulfate,33
30225703,Caffeic acid 4-sulfate,Phenolic acids,2,Hydroxycinnamic acids,260,180,Sulfate,33
30225503,Ferulic acid 4-sulfate,Phenolic acids,2,Hydroxycinnamic acids,274,194,Sulfate,33
