bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
2067,348,Experimental food,rat,Rat,10101803,101018,peonidin-3-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,FALSE,FALSE,
2068,348,Experimental food,rat,Rat,10101803,101018,peonidin-3-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1973,331,Experimental food,rat,Rat,10102203,101022,cyanidin,Cyanidin,Aglycone,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2063,348,Experimental food,rat,Rat,10102203,101022,cyanidin,Cyanidin,Aglycone,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2028,338,Food,rat,Rat,10102403,101024,cyanidin 3-O-2G-glucosyl rutinoside,Cyanidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2029,339,Food,rat,Rat,10102403,101024,cyanidin 3-O-2G-glucosyl rutinoside,Cyanidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
274,92,Food,rat,Rat,10102503,101025,pelargonidin 3-O-sophoroside,Pelargonidin 3-O-sophoroside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
268,92,Food,rat,Rat,10102603,101026,cyanidin 3-O-(2G-O-glucosyl rutinoside),Pelargonidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
270,92,Food,rat,Rat,10102603,101026,cyanidin 3-O-(2G-O-glucosyl rutinoside),Pelargonidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
1900,318,Experimental food,rat,Rat,10103003,101030,delphinidin 3-O-?-g-D-galactopiranoside,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1945,325,Food,rat,Rat,10103003,101030,delphinidin-3-O-galactose,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2015,340,Food,rat,Rat,10103003,101030,delphinidin 3-O-galactoside,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1899,317,Pure compound,rat,Rat,10103103,101031,delphinidin 3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1902,318,Experimental food,rat,Rat,10103103,101031,delphinidin 3-o-?-g-D-glucopiranisode,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1946,325,Food,rat,Rat,10103103,101031,delphinidin-3-O-glucose,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2014,340,Food,rat,Rat,10103103,101031,delphinidin-3-O-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2087,353,Food,rat,Rat,10103103,101031,delphinidin-3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2088,354,Experimental food,rat,Rat,10103103,101031,delphinidin-3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2142,370,Experimental food,rat,Rat,10103103,101031,delphinidin 3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1905,318,Experimental food,rat,Rat,10103203,101032,delphinidin 3-o-?-L-arabinopyranoside,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1947,325,Food,rat,Rat,10103203,101032,delphinidin-3-O-arabinose,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
