cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,hydrolysis
10813503,Isorhamnetin 4'-O-glucuronide,Flavonoids,5,Flavonols,492,316,Glucuronide,no
10603503,Naringenin 4'-O-glucuronide,Flavonoids,5,Flavanones,448,272,Glucuronide,no
10603603,Naringenin 5-O-glucuronide,Flavonoids,5,Flavanones,448,272,Glucuronide,no
10603703,Naringenin 7-O-glucuronide,Flavonoids,5,Flavanones,448,272,Glucuronide,no
10301403,Phloretin 2'-O-glucuronide,Flavonoids,5,Dihydrochalcones,450,274,Glucuronide,no
10813203,Quercetin 3'-O-glucuronide,Flavonoids,5,Flavonols,478,302,Glucuronide,no
10806103,Quercetin 3-O-glucuronide,Flavonoids,5,Flavonols,478,302,Glucuronide,no
10813403,Quercetin 4'-O-glucuronide,Flavonoids,5,Flavonols,478,302,Glucuronide,no
10603203,Hesperetin 3'-sulfate,Flavonoids,5,Flavanones,382,302,Sulfate,no
10813303,Quercetin 3'-sulfate,Flavonoids,5,Flavonols,382,302,Sulfate,no
10907803,Tectorigenin 4'-sulfate,Flavonoids,5,Isoflavonoids,380,300,Sulfate,no
10907703,Tectorigenin 7-sulfate,Flavonoids,5,Isoflavonoids,380,300,Sulfate,no
10901703,2-Dehydro-O-desmethylangolensin,Flavonoids,5,Isoflavonoids,256,256,Aglycone,yes
10909503,"3',4',5,7-Tetrahydroxyisoflavanone",Flavonoids,5,Isoflavonoids,288,288,Aglycone,yes
10901903,"3',4',7-Trihydroxyisoflavan",Flavonoids,5,Isoflavonoids,258,258,Aglycone,yes
10902003,"3',4',7-Trihydroxyisoflavanone",Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10910203,3'-Hydroxyequol,Flavonoids,5,Isoflavonoids,258,258,Aglycone,yes
10909903,3'-Hydroxygenistein,Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10902303,3'-Hydroxy-O-desmethylangolensin,Flavonoids,5,Isoflavonoids,274,274,Aglycone,yes
10909703,3'-O-Methylequol,Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10511803,"4',4""-O-Dimethylepigallocatechin 3-O-gallate",Flavonoids,5,Flavanols,486,332,Aglycone,yes
10902403,"4',6,7-Trihydroxyisoflavanone",Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10902603,"4',7-Dihydroxy-3'-methoxyisoflavan",Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10902703,"4',7-Dihydroxy-6-methoxyisoflavan",Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10511903,4'-O-Methylepigallocatechin,Flavonoids,5,Flavanols,320,320,Aglycone,yes
10512003,4''-O-Methylepigallocatechin 3-O-gallate,Flavonoids,5,Flavanols,472,320,Aglycone,yes
10902903,4'-O-Methylequol,Flavonoids,5,Isoflavonoids,256,256,Aglycone,yes
10903003,"5,6,7,3',4'-Pentahydroxyisoflavone",Flavonoids,5,Isoflavonoids,302,302,Aglycone,yes
10903103,"5,6,7,4'-Tetrahydroxyisoflavone",Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10903203,"5,7,8,3',4'-Pentahydroxyisoflavone",Flavonoids,5,Isoflavonoids,302,302,Aglycone,yes
10903303,"5,7,8,4'-Tetrahydroxyisoflavone",Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10903403,5'-Hydroxy-O-desmethylangolensin,Flavonoids,5,Isoflavonoids,274,274,Aglycone,yes
10903503,5'-Methoxy-O-desmethylangolensin,Flavonoids,5,Isoflavonoids,288,288,Aglycone,yes
10903603,"6,7,3',4'-Tetrahydroxyisoflavone",Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10903703,"6,7,4'-Trihydroxyisoflavone",Flavonoids,5,Isoflavonoids,270,270,Aglycone,yes
10903803,6'-Hydroxyangolensin,Flavonoids,5,Isoflavonoids,288,288,Aglycone,yes
10910103,6-Hydroxydihydrodaidzein,Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10903903,6'-Hydroxy-O-desmethylangolensin,Flavonoids,5,Isoflavonoids,274,274,Aglycone,yes
10909803,6-O-Methylequol,Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10904203,"7,8,3',4'-Tetrahydroxyisoflavone",Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10904303,"7,8,4'-Trihydroxyisoflavone",Flavonoids,5,Isoflavonoids,270,270,Aglycone,yes
10911803,8-Hydroxydihydrodaidzein,Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
10904403,Angolensin,Flavonoids,5,Isoflavonoids,272,272,Aglycone,yes
