method.full,method,analysis.type,food.group.full,food.group,food.subgroup,food,food.class,process.full,process,top.process,process.type,process.grouped,compound.class,compound.subclass,compound,conjugation,cicon,unit,mean.rf,min.rf,max.rf,sdev.rf,nraw.rf,rf.id
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,0.391764716,0.391764716,0.391764716,,1,826
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,1.015132427,1.015132427,1.015132427,,1,860
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Gourds,"Zucchini, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.280100257,0.280100257,0.280100257,,1,1029
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.141713457,0.141713457,0.141713457,,1,1155
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.953115241,0.769230747,1.103448296,0.169616086,3,1246
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.24305956,0.24305956,0.24305956,,1,633
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.238848595,0.238848595,0.238848595,,1,710
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,1.149642838,1.149642838,1.149642838,,1,829
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.608479559,0.608479559,0.608479559,,1,862
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.285796809,0.285796809,0.285796809,,1,913
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Cinnamic acid,free phenol,302180,mg/100 g fresh weight,0.212913841,0.212913841,0.212913841,,1,638
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Cinnamic acid,free phenol,302180,mg/100 g fresh weight,0.292512436,0.292512436,0.292512436,,1,714
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.341842424,0.341842424,0.341842424,,1,1158
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Shoot vegetables,"Asparagus, raw",208,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.015608147,0.007207207,0.031460676,0.010796129,4,1180
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,1.237352244,0.578723431,1.790476227,0.612727233,3,1248
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,1.907529442,1.907529442,1.907529442,,1,641
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.180697678,0.180697678,0.180697678,,1,832
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.571174264,0.571174264,0.571174264,,1,864
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.194044244,0.194044244,0.194044244,,1,915
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Gallic acid,free phenol,301003,mg/100 g fresh weight,0.794453183,0.794453183,0.794453183,,1,606
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Gallic acid,free phenol,301003,mg/100 g fresh weight,0.532236461,0.532236461,0.532236461,,1,680
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Jaceidin 4'-O-glucuronide,glycoside,108095,mg/100 g fresh weight,0.885813963,0.885813963,0.885813963,,1,1042
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.262812517,0.235625009,0.280937517,0.023977128,3,1098
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,1.03839175,1.03839175,1.03839175,,1,1145
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.170414944,0.170414944,0.170414944,,1,815
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.915417254,0.915417254,0.915417254,,1,853
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.246277666,0.246277666,0.246277666,,1,909
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavones,Luteolin,free phenol,107002,mg/100 g fresh weight,0.276707824,0.276707824,0.276707824,,1,1143
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavones,Luteolin,free phenol,107002,mg/100 g fresh weight,0.743346393,0.743346393,0.743346393,,1,850
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Anthocyanins,Malvidin,free phenol,101007,mg/100 g fresh weight,0,0,0,,1,813
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavanones,Naringenin,free phenol,106001,mg/100 g fresh weight,0.144160005,0.144160005,0.144160005,,1,1141
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavanones,Naringenin,free phenol,106001,mg/100 g fresh weight,0,0,0,,1,848
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,o-Coumaric acid,free phenol,302012,mg/100 g fresh weight,0.326165051,0.326165051,0.326165051,,1,642
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Patuletin 3-O-(2''-feruloylglucosyl)(1->6)-[apiosyl(1->2)]-glucoside,glycoside,108091,mg/100 g fresh weight,1.042913413,1.042913413,1.042913413,,1,1046
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Gourds,"Zucchini, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,0.293333342,0.293333342,0.293333342,,1,1032
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,1.437650223,1.437650223,1.437650223,,1,1160
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,1.052329779,0.693333292,1.29032259,0.316354979,3,1249
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,2.086206862,2.086206862,2.086206862,,1,646
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,0.772383332,0.772383332,0.772383332,,1,866
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,0.146607924,0.146607924,0.146607924,,1,917
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Protocatechuic acid,free phenol,301002,mg/100 g fresh weight,0.424065066,0.424065066,0.424065066,,1,614
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Protocatechuic acid,free phenol,301002,mg/100 g fresh weight,0.456119412,0.456119412,0.456119412,,1,689
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.445609763,0.424390254,0.46682929,0.021219518,3,1102
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [White], raw",207,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.221315775,0.221315775,0.221315775,,1,1109
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.374877449,0.374877449,0.374877449,,1,1147
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Shoot vegetables,"Asparagus, raw",208,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,48.24193716,29.33333397,70.60241699,18.41145385,4,1177
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.220025319,0,0.530869604,0.27684237,3,821
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.706179082,0.706179082,0.706179082,,1,856
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.265174818,0.265174818,0.265174818,,1,911
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Fruit vegetables,"Tomato, whole, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.695408457,0.142816896,1.248000019,0.781482481,2,997
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin 3-O-rutinoside,glycoside,108007,mg/100 g fresh weight,0.326518442,0.326518442,0.326518442,,1,1149
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Shoot vegetables,"Asparagus, raw",208,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin 3-O-rutinoside,glycoside,108007,mg/100 g fresh weight,1.532641798,1.073644757,1.918918848,0.352061166,4,1178
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Quercetin 3-O-rutinoside,glycoside,108007,mg/100 g fresh weight,0.080247626,0.080247626,0.080247626,,1,858
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.885316315,0.885316315,0.885316315,,1,1163
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,1.150920073,0.632558155,1.511111069,0.460138388,3,1250
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,1.189552619,0.201105152,2.178000087,1.397875814,2,648
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.273426224,0.273426224,0.273426224,,1,721
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.50776593,0.50776593,0.50776593,,1,835
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.395703793,0.395703793,0.395703793,,1,868
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.259704852,0.259704852,0.259704852,,1,919
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Spinacetin 3-O-glucosyl-(1->6)-[apiosyl(1->2)]-glucoside,glycoside,108090,mg/100 g fresh weight,1.168477595,1.168477595,1.168477595,,1,1055
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,Spinatoside 4'-O-glucuronide,glycoside,108101,mg/100 g fresh weight,0.924750835,0.924750835,0.924750835,,1,1059
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Syringic acid,free phenol,301020,mg/100 g fresh weight,0.781179094,0.473469353,1.088888836,0.43516729,2,1243
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Syringic acid,free phenol,301020,mg/100 g fresh weight,0.186548809,0.186548809,0.186548809,,1,620
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Syringic acid,free phenol,301020,mg/100 g fresh weight,0.291044544,0.291044544,0.291044544,,1,696
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Vanillic acid,free phenol,301004,mg/100 g fresh weight,0.576454544,0.36500001,0.767999983,0.202236307,3,1244
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,Vanillic acid,free phenol,301004,mg/100 g fresh weight,0.258688802,0.258688802,0.258688802,,1,699
0 - Not aggregated,Folin assay,Grouped,Seeds,Seeds,Pulses - Beans - Other  beans,"Mung bean, whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g dry weight,1.371386372,1.362602745,1.380169998,0.012421924,2,735
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Fruit vegetables,"Tomato, whole, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.886057202,0.703215644,1.068898759,0.25857701,2,1016
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Gourds,"Squash, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.659086654,0.659086654,0.659086654,,1,1022
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.874572036,0.786475378,0.962668693,0.124587488,2,1068
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Leek, raw",208,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.324203102,0.324203102,0.324203102,,1,1075
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [White], raw",207,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.531200838,0.305372836,0.745899419,0.198228538,4,1112
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Pod vegetables,"Green bean, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.954552194,0.954552194,0.954552194,,1,1125
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Pulse vegetables,"Fresh pea, raw",206,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.484174087,0.356000005,0.711112144,0.101629136,8,1133
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.875252604,1.875252604,1.875252604,,1,1166
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Root vegetables,"Turnip white, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.611562511,0.611562511,0.611562511,,1,1171
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Root vegetables,"Turnip yellow, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.591051111,0.591051111,0.591051111,,1,1174
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Shoot vegetables,"Asparagus, raw",208,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.310757041,1.310757041,1.310757041,,1,1181
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Shoot vegetables,"Asparagus, raw, stored refrigerated",208,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.125000119,1.125000119,1.125000119,,1,1183
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.697945893,0.510150385,0.835177326,0.105189641,8,1238
5 - Folin assay,Folin assay,Grouped,Fruits and fruit products,Fruits,Fruits - Stalk vegetables,"Rhubarb, raw",401,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.271046264,1.108715212,1.511579106,0.17499191,4,346
5 - Folin assay,Folin assay,Grouped,Seeds,Seeds,Nuts,"Chestnut, raw",402,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.821425131,0.666027904,0.960313976,0.084822416,11,558
5 - Folin assay,Folin assay,Grouped,Seeds,Seeds,Nuts,Peanut,402,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.071049753,1.071049753,1.071049753,,1,560
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,Rice,602,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.628782012,0.127758704,0.825340411,0.205975195,11,69
5 - Folin assay,Folin assay,Grouped,Seeds,Seeds,Pulses - Lentils,"Lentils, whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.138560405,1.054986366,1.191743904,0.073268989,3,738
5 - Folin assay,Folin assay,Grouped,Seeds,Seeds,Pulses - Peas,"Chickpea, whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.344953722,1.30625,1.393333375,0.044340684,3,748
