method.full,method,analysis.type,food.group.full,food.group,food.subgroup,food,food.class,process.full,process,top.process,process.type,process.grouped,compound.class,compound.subclass,compound,conjugation,cicon,unit,mean.rf,min.rf,max.rf,sdev.rf,nraw.rf,rf.id
4 - pH differential method (anthocyanins),pH diff.,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Anthocyanins,"Anthocyanins, total",ester,101000,mg/100 g fresh weight,0.230474897,0.09974093,0.354114681,0.127335176,3,847
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,"Blanched, frozen, stored frozen","Blanched,fr.,st.fr",no,Domestic cooking,Other domestic,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,2.020201921,2.020201921,2.020201921,,1,1062
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,"Blanched, frozen, stored frozen","Blanched,fr.,st.fr",no,Domestic cooking,Other domestic,Phenolic acids,Hydroxycinnamic acids,o-Coumaric acid,free phenol,302012,mg/100 g fresh weight,1.348920822,1.348920822,1.348920822,,1,1064
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,"Blanched, frozen, stored frozen","Blanched,fr.,st.fr",no,Domestic cooking,Other domestic,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,5.461538315,5.461538315,5.461538315,,1,1066
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavanols,(-)-Epicatechin 3-O-gallate,ester,105005,mg/100 g fresh weight,0.419567886,0.419567886,0.419567886,,1,578
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavanols,(+)-Catechin,free phenol,105001,mg/100 g fresh weight,0.472169862,0.472169862,0.472169862,,1,582
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavanols,(+)-Epicatechin,free phenol,105029,mg/100 g fresh weight,0.765677594,0.765677594,0.765677594,,1,586
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Shoot vegetables,"Globe artichoke, heads, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,"1,5-Dicaffeoylquinic acid",ester,302100,mg/100 g fresh weight,0.849777797,0.849777797,0.849777797,,1,1191
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,"2,3,4-Trihydroxybenzoic acid",free phenol,301123,mg/100 g fresh weight,1.894085972,1.894085972,1.894085972,,1,664
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Shoot vegetables,"Globe artichoke, heads, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,"3,5-Dicaffeoylquinic acid",ester,302042,mg/100 g fresh weight,11.16354452,11.16354452,11.16354452,,1,1194
