dose.cicon,metab.cicon
70100303,70100203
70100303,70100103
70100303,70100103
70100203,70106203
70100203,70106203
70100203,70102203
70100203,70102203
70100203,70102503
70100203,70102503
70100203,70103803
70100203,70103803
10907403,10900103
10907403,10905203
10907403,10905703
10907403,10905703
10907403,10907403
10907403,10907403
10908003,10908003
10908103,10908003
30108503,30100303
30108503,30108503
30111903,30100803
30111903,30111903
30111903,30111903
30111903,30112003
30111903,30112503
30111903,90112003
30111903,90112303
70100203,70103803
70100203,70103903
70100203,70103903
70100203,70103903
70100203,70100303
70100203,70100303
70100203,70100203
30200503,30200503
30200503,30200503
70100203,70100203
10600103,10600103
30200503,30200803
10600103,10600103
10600103,10600103
10600903,10600303
30200503,30225303
30200503,30225303
30200503,30225603
30200503,30226003
30200503,30226003
30200503,30226103
30200503,30226103
30200503,30227203
30200503,30227203
30200503,30227303
30200503,30227303
30200503,30227403
30200503,30227403
10600903,10600303
10600903,10602103
10600903,10602103
30200503,30506503
10600903,10600103
10600903,10600103
30200503,30508103
30200803,30112903
30200803,30200803
30200803,30200803
30200803,30200803
10600903,10600103
10600903,10600103
30200803,30507603
30200803,100100803
10600903,10600103
10600903,10600103
30201103,30201103
30201103,30201103
90181003,90120103
90181003,90180203
90181003,90181003
90181003,90180103
10503403,10500203
30202203,30112903
30202203,30202203
30202203,30507403
30204303,30204303
30204303,30226103
30204303,30226103
30204303,30227403
30210003,30210003
30210003,30210003
30210003,30228603
30210003,30228603
30210003,30228703
30210003,30228803
10503403,10511203
10503403,10503403
10503503,30304803
10503503,30103603
10503503,30112703
10503503,30306003
10503503,30506603
10503503,30601003
10503503,30100903
10503503,30112603
10503503,30506303
10503503,30112903
10503503,30201303
10503503,30200103
10503503,30100203
10503503,30100403
10504503,30304803
10504503,30306003
10504503,30506603
10504503,30100903
10504503,30112603
10504503,30200203
10504503,30112903
10504503,30201303
10504503,30200103
10504503,30100403
10505503,30304803
10505503,30306003
10505503,30506603
10505503,30601003
10505503,30100903
10505503,30112603
10505503,30200203
10505503,30112903
10505503,30201303
10505503,30200103
10505503,30100403
10800203,100100203
10800203,30109703
10800203,30109703
10800203,30508303
10800203,30508303
10800203,100010003
10800203,100010003
30506303,30200803
30506303,30200803
30506303,30204303
30506303,30204303
30506303,30506303
30506303,30507203
30506303,30507203
30507703,30506503
30507703,30506503
30507703,30507703
30507703,30507703
30507703,30507903
30507703,30507903
30507703,30507903
30507703,30508103
30507703,30508103
30507703,30508203
60101703,60101703
60101703,60101703
60101703,60100103
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60103003
60101703,60101703
60101703,60101703
10800203,90203003
10800203,90203003
10800203,30109803
10800203,30103403
10800203,30103403
10800203,30506303
10800203,30506303
10800203,30506003
10800203,30506003
10800203,30200803
60101703,60100103
60101703,60100103
60101703,60101703
60101703,60103803
60101703,60100103
60101803,60103203
60101803,60103203
60101803,60103303
60101803,60103303
60101803,60103403
60101803,60103403
60101803,60103503
60101803,60103503
60101803,60103603
60101803,60103603
60101903,60101903
60101903,60102003
60101903,60102303
60101903,60102403
10800203,30200803
10800203,30100303
10800203,10803403
10800203,30305903
10800203,30305903
10800203,30100203
10800203,30100203
10800203,10800203
10800203,10800203
10800203,10800203
10800203,10800203
10800203,10800203
10800203,10800203
10800203,30100403
10800203,30100403
10800703,30103803
10800703,30306803
10800703,30112803
10800703,30306103
10800703,30304803
10800703,30107803
10800703,30306003
10800703,30100903
10800703,30305003
10800703,30103403
10800703,30200803
10800703,30112903
10800703,30305203
10800703,30306603
10800703,30100203
10800703,30202203
10800703,30102003
10800703,30100403
60101703,60100103
60101703,60100103
60101703,60103403
60101703,60103403
60101703,60103503
60101703,60103503
30201103,30219603
30201103,30200503
30201103,30200803
30201103,30201303
30201103,30201303
30201103,30201103
30201103,30201103
10905703,10905703
10905703,10905703
10905703,10905703
10905703,10905703
70100103,70106203
70100103,70106203
70100103,70102203
70100103,70102203
70100103,70102203
70100103,70102503
70100103,70102503
70100103,70103803
70100103,70103803
70100103,70103803
70100103,70103903
70100103,70103903
70100103,70103903
70100103,70100303
70100103,70100303
70100103,70100203
70100103,70100203
70100103,70100103
70101203,70103803
70101203,70103803
70101203,70103903
70101203,70103903
70101203,70100103
70104003,70103803
70104003,70103803
70104003,70103903
70104003,70103903
70104003,70101603
70104003,70101603
70104003,70104003
70104003,70104003
10501203,10500203
10501203,10500403
10501203,10500403
10501203,10501203
10501203,10501203
90112003,90112003
90167403,90167403
60101703,60101703
60101703,60101703
60101703,60101703
60101703,60101703
99999999,10900103
99999999,10900303
99999999,10900403
99999999,10905703
99999999,10907603
99999999,10907703
99999999,10907803
99999999,10907903
99999999,10908003
99999999,10908103
99999999,10908203
99999999,10908303
