dose.cicon,metab.cicon
10501703,30112603
10501703,30112903
10501703,30112603
10501703,30600503
10501703,30600403
10501703,30600403
10501703,30600103
10501703,30506303
10501703,30506303
10501703,30200803
10501703,30200803
10501703,30112903
10501703,30112903
10501703,30201303
10501703,30200103
10501703,30200103
10501703,30600103
10501703,30306603
10501703,30100203
10501703,30100403
10501703,30100403
10900103,10902203
10900103,10902203
10900103,10903703
10900103,10903703
10503403,10500203
10900103,10904303
10503403,10503403
10900103,10904303
10503403,10511203
10900103,10900103
10900103,10900103
10900103,10905203
10900103,10905203
10900103,10905703
10900103,10905703
10900103,10907003
10900103,10907003
10901003,10902203
10901003,10902203
10901003,10903703
10901003,10903703
10901003,10904303
10901003,10904303
10901003,10900103
10901003,10900103
10901003,10905203
10901003,10905203
10901003,10905703
10901003,10905703
10901003,10907003
10901003,10907003
70103903,70103803
70103903,70103903
70103903,70100103
