"CLASS","SUBCLASS","FAMILY","DTAGA","CICON"
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavones","Flavones","Luteolin 7-O-rutinoside",10701803
"Flavonoids","Flavones","Methoxyflavones","Diosmin",10700503
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Other polyphenols","Other polyphenols","Other polyphenols","Phlorin",90160703
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Luteolin",10700203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavanones","Flavanones","Poncirin",10601403
"Flavonoids","Flavones","Flavones","Apigenin 6,8-di-C-glucoside",10703303
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavones","Methoxyflavones","Tetramethylscutellarein",10701903
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxynobiletin",10812703
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxysinensetin",10812803
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202203
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Apigenin 6,8-di-C-glucoside",10703303
"Flavonoids","Flavones","Flavones","Chrysin",10701403
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavones","Methoxyflavones","Tetramethylscutellarein",10701903
"Flavonoids","Flavonols","Flavonols","Galangin",10803303
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxynobiletin",10812703
"Other polyphenols","Other polyphenols","Other polyphenols","Phlorin",90160703
"Flavonoids","Flavanones","Flavanones","Naringenin",10600103
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600303
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Luteolin",10700203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202203
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
