,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
PP_607,0.11358,0.46947,-0.07377,0.20732,-0.09238,0.02434,0.01597,-0.0518,0.10705,-0.01524,0.10559,0.08259,0.45672,0.13518,0.26542,0.09158,0.3268,0.01326,0.03424,0.01382,0.05491,0.17578,0.33402,0.04874,0.12749,0.08382,0.04917,0.55662,0.12513,0.0918,0.07591,-0.02345,0.00564,-0.01519,0.43088,0.54157
PP_608,-0.12922,0.11065,-0.07059,0.10754,-0.10326,0.13355,-0.03839,-0.07178,0.0668,0.07037,-0.11416,-0.07474,0.04741,-0.00242,-0.12701,-0.17859,-0.00207,-0.14946,0.06544,-0.00795,0.07782,-0.03419,-0.07729,0.04606,0.0811,0.05752,-0.12948,-0.03652,0.01322,-0.14898,-0.06158,-0.16186,-0.02881,0.03304,-0.12735,0.0495
PP_609,0.21537,-0.18187,0.26856,-0.03114,0.29827,-0.12773,0.006,0.22961,-0.0055,-0.05355,0.20715,0.17479,-0.2,0.09239,0.05286,0.21105,0.12332,0.1096,0.00852,0.0682,0.08551,0.2073,0.1617,0.00068,0.03252,-0.0373,0.13764,0.1076,0.09181,0.12426,0.13239,0.2271,0.23232,0.15748,0.16087,-0.02669
PP_610,0.17221,0.07687,0.20117,0.06313,0.19165,-0.05184,0.0768,0.22428,0.03376,0.15937,0.2119,0.11932,0.06579,0.10603,0.17421,0.20269,0.23881,0.0846,-0.04391,0.07971,0.12534,0.22887,0.20126,-0.06274,0.11089,0.15188,0.14358,0.1843,0.20045,0.11667,-0.01128,0.14778,0.16979,0.05255,0.25795,0.11119
PP_611,-0.18352,0.18646,-0.17181,0.11236,-0.16369,0.12813,-0.11663,-0.1889,0.04683,-0.02019,-0.17991,-0.12323,0.14018,0.01122,-0.11897,-0.25609,-0.00961,-0.19113,0.05829,-0.07904,0.04712,-0.07802,-0.05489,0.02997,0.0755,0.0197,-0.20051,0.01085,-0.02547,-0.18972,-0.0568,-0.24405,-0.10171,-0.0324,-0.11207,0.1015
PP_612,-0.17921,0.00231,-0.21494,-0.01105,-0.28821,-0.04939,-0.00747,-0.15682,-0.19772,-0.10289,-0.22086,-0.27662,0.09461,0.11264,-0.11381,-0.22819,-0.17282,-0.02346,-0.14449,-0.12271,-0.11939,-0.09266,-0.10772,-0.16163,-0.03796,-0.03585,-0.16405,-0.27695,-0.16023,-0.12907,-0.15751,-0.15161,-0.13991,-0.06976,-0.4597,-0.0694
PP_613,-0.26652,0.31604,-0.35276,0.14161,-0.29644,0.14768,-0.13952,-0.35996,0.03347,-0.03368,-0.23571,-0.14569,0.24408,0.00227,-0.15576,-0.35367,-0.05724,-0.22359,0.03382,-0.12485,0.01481,-0.12457,-0.07798,0.02269,0.06877,0.02355,-0.28101,0.04793,-0.06693,-0.2507,-0.01393,-0.32293,-0.18549,-0.08798,-0.08364,0.1966
PP_614,0.39101,0.06117,0.38426,0.14644,0.32639,0.01887,0.26097,0.41272,0.1273,0.15193,0.36011,0.21808,0.08842,0.09345,0.28896,0.43375,0.33168,0.19187,0.047,0.18209,0.18091,0.27502,0.24445,0.0629,0.14316,0.14613,0.3811,0.19326,0.26091,0.37606,0.07104,0.31165,0.28809,0.10712,0.33475,0.07799
PP_616,0.2803,-0.22619,0.35949,-0.0309,0.34275,-0.12967,0.0539,0.31917,-0.00471,-0.03184,0.25762,0.1942,-0.26448,0.07009,0.06991,0.26069,0.13576,0.1663,0.00665,0.12547,0.09758,0.23486,0.16106,-0.00928,0.02894,-0.00861,0.20502,0.08248,0.11947,0.18153,0.11169,0.28812,0.2692,0.17812,0.15027,-0.09019
PP_617,-0.04379,0.10774,-0.1627,0.15201,-0.14894,-0.0327,0.00397,-0.16455,0.01675,-0.18306,-0.08953,-0.01508,0.03601,-0.00312,0.03686,-0.14733,-0.04427,0.06199,0.02336,-0.06183,0.02779,-0.03921,0.00948,-0.02569,0.14283,-0.04068,-0.03683,0.08926,-0.10495,-0.09856,-0.02322,-0.1351,-0.23638,-0.10864,-0.01598,0.16201
