bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,urinary.ex,ue.error,error.measure,ue.period
1288,242,rat,10503403,Procyanidin dimer B2,Flavanols,578,None,0.34,0.175,SEM,NA
1291,243,human,30100303,Gallic acid,Hydroxybenzoic acids,170,None,5.8,2.6,NA,NA
1466,261,human,10500403,(-)-Epigallocatechin,Flavanols,306,?-glucuronidase and sulfatase,14,NA,NA,NA
1468,261,human,10511903,4'-O-Methylepigallocatechin,Flavanols,320,?-glucuronidase and sulfatase,52,NA,NA,NA
1470,262,human,10500603,(-)-Epigallocatechin 3-O-gallate,Flavanols,458,?-glucuronidase and sulfatase,26.7,16,SD,24
1526,273,human,10501203,Theaflavin,Flavanols,564,?-glucuronidase and sulfatase,0.0006,NA,NA,24
1660,289,rat,10503303,Procyanidin dimer B1,Flavanols,578,None,0.5,0.3,NA,4
1661,289,rat,10503403,Procyanidin dimer B2,Flavanols,578,None,0.3,0.2,NA,4
1662,289,rat,10503503,Procyanidin dimer B3,Flavanols,578,None,1,0.1,NA,4
1663,289,rat,10503603,Procyanidin dimer B4,Flavanols,578,None,0.4,0.4,NA,4
1664,289,rat,10505503,Procyanidin trimer C2,Flavanols,866,None,4.3,0.1,NA,4
1848,301,human,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,7.3,1,SEM,NA
1849,302,human,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,4.9,0.8,SEM,NA
1850,303,human,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,3.6,0.6,SEM,NA
1871,308,human,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,1.8,0.29,NA,NA
1878,310,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.057,0.011,NA,NA
1879,310,rat,10101603,Cyanidin 3-O-(6''-malonyl-glucoside),Anthocyanins,535,None,0.045,0.008,NA,NA
1918,304,human,10108203,"Cyanidin 3,5-O-diglucoside",Anthocyanins,611,None,0.179,NA,NA,NA
1919,305,human,10108203,"Cyanidin 3,5-O-diglucoside",Anthocyanins,611,None,0.119,NA,NA,NA
1920,306,human,10108203,"Cyanidin 3,5-O-diglucoside",Anthocyanins,611,None,0.104,NA,NA,NA
1921,304,human,10114103,Cyanidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,773,None,0.185,NA,NA,NA
1922,305,human,10114103,Cyanidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,773,None,0.11,NA,NA,NA
1923,306,human,10114103,Cyanidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,773,None,0.096,NA,NA,NA
1924,304,human,10114203,Peonidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,787,None,0.655,NA,NA,NA
1925,305,human,10114203,Peonidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,787,None,0.382,NA,NA,NA
1926,306,human,10114203,Peonidin 3-O-diglucoside-5-O-glucoside,Anthocyanins,787,None,0.364,NA,NA,NA
1965,329,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.124,0.012,SEM,24
1967,329,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.135,0.019,SEM,24
1977,332,human,10101803,Peonidin 3-O-glucoside,Anthocyanins,463,None,0.006,NA,NA,NA
1979,332,human,10103903,Malvidin 3-O-glucoside,Anthocyanins,493,None,0.06,NA,SD,NA
1980,332,human,10103103,Delphinidin 3-O-glucoside,Anthocyanins,465,None,0.06,NA,SD,NA
1982,332,human,10103603,Petunidin 3-O-glucoside,Anthocyanins,479,None,0.03,NA,SD,NA
2030,343,human,10103003,Delphinidin 3-O-galactoside,Anthocyanins,465,None,0.007,NA,NA,7
2031,342,human,10103103,Delphinidin 3-O-glucoside,Anthocyanins,465,None,0.041,NA,NA,7
2032,343,human,10103103,Delphinidin 3-O-glucoside,Anthocyanins,465,None,0.03,NA,NA,7
2033,343,human,10103203,Delphinidin 3-O-arabinoside,Anthocyanins,435,None,0.004,NA,NA,7
2034,343,human,10105703,Malvidin 3-O-galactoside,Anthocyanins,493,None,0.009,NA,NA,7
2035,343,human,10103903,Malvidin 3-O-glucoside,Anthocyanins,493,None,0.006,NA,NA,7
